County,BA2005,BA2006,BA2007,BA2008,BA2009,BA2010,BA2011,BA2012,BA2013,BA2014,BA2015,BA2016,BA2017,BA2018,BA2019,BA2020,BA2021
Alameda County,10149,11030,10944,10616,9760,10719,11084,10768,11418,12064,12629,12632,13210,15212,14772,18020,20963
Alpine County,14,13,9,3,7,23,12,11,4,0,4,5,6,6,3,18,12
Amador County,222,244,208,193,154,174,164,165,171,147,145,172,207,177,227,205,258
Butte County,1100,1096,1168,1014,936,903,874,931,956,929,1032,962,1043,1095,1089,1218,1477
Calaveras County,268,296,259,205,242,190,212,196,168,206,215,396,282,284,264,326,373
Colusa County,80,116,107,119,95,103,72,76,97,92,90,93,70,94,122,128,154
Contra Costa County,6603,7090,7080,6716,6105,6645,6997,6377,6648,7015,7139,7534,7666,8887,9287,11476,13582
Del Norte County,116,101,123,139,105,105,86,81,58,100,91,79,88,98,114,116,153
El Dorado County,1346,1379,1379,1282,1060,1123,1097,1060,1106,1104,1106,1222,1194,1337,1374,1559,1861
Fresno County,4213,4439,4458,4161,3885,3690,3921,3854,3972,4092,5348,6089,5637,5584,5556,7359,9958
Glenn County,131,161,151,114,103,135,128,77,102,106,110,131,107,123,133,146,179
Humboldt County,633,705,633,629,603,653,648,594,577,683,881,1289,1076,1109,965,1067,1349
Imperial County,699,723,699,607,524,553,546,578,584,612,599,593,643,787,719,880,1069
Inyo County,93,68,81,81,80,55,66,74,94,71,62,81,72,121,107,97,122
Kern County,3853,4041,3887,3461,3028,3117,3346,3317,3436,3431,3741,3963,4299,4592,4646,6203,7888
Kings County,406,420,460,379,358,383,413,413,398,392,373,497,506,547,543,661,844
Lake County,365,329,355,294,241,231,260,272,254,284,253,316,320,378,305,413,495
Lassen County,133,161,103,99,89,88,90,81,71,87,80,99,85,88,98,110,125
Los Angeles County,89736,93929,95440,90240,83281,85366,90629,91387,96128,101758,104679,106674,111876,126893,128114,157739,178467
Madera County,607,683,612,588,532,519,523,476,552,589,632,596,624,691,687,862,1103
Marin County,2553,2637,2601,2452,2378,2399,2523,2477,2485,2587,2691,2584,2546,2909,2798,3048,3506
Mariposa County,71,96,108,87,80,82,81,80,72,72,87,105,90,117,110,82,143
Mendocino County,493,529,513,468,434,419,465,433,399,435,515,653,844,826,622,694,846
Merced County,947,1026,1139,876,761,750,793,780,765,882,833,1039,1058,1057,1127,1466,1933
Modoc County,42,45,64,51,23,30,41,35,35,35,23,41,50,43,36,50,58
Mono County,114,139,91,82,81,88,57,99,74,93,93,107,99,117,92,106,151
Monterey County,1918,1983,1809,1642,1563,1765,1738,1608,1778,1728,1787,1785,1965,2174,2117,2443,3181
Napa County,931,1019,967,984,788,780,884,917,933,926,1021,1008,948,1059,987,1124,1418
Nevada County,826,847,772,717,583,612,659,665,616,693,807,954,871,987,916,1038,1235
Orange County,28445,28815,29021,27929,26321,26352,26977,27410,28361,29990,30401,31549,32957,36645,36985,41090,46556
Placer County,2865,3049,2985,2843,2387,2430,2585,2615,2419,2554,2589,2746,2994,3320,3247,3663,4240
Plumas County,170,160,142,136,107,102,104,86,83,87,70,93,89,116,117,93,123
Riverside County,13119,14429,14050,13153,12098,12007,12814,12253,12697,13298,14025,14380,15673,16936,17349,22966,28411
Sacramento County,8872,9477,9635,9063,8141,8121,8646,8161,8181,8823,9412,9986,10915,12665,12191,16149,22059
San Benito County,267,269,238,244,259,220,229,206,227,235,246,240,271,319,328,365,470
San Bernardino County,11934,12938,12869,11774,10126,10826,10848,10662,11179,11707,12398,13501,14139,15832,16665,22069,28764
San Diego County,24240,25316,24848,24160,22278,22619,24036,23540,24951,25924,26358,26866,28184,30657,30720,34930,41472
San Francisco County,8088,8825,9072,9005,8576,9448,10354,10645,10913,12012,12377,11758,12357,13720,13256,13874,15842
San Joaquin County,3285,3506,3449,3252,2732,2866,2960,2756,2820,3220,3352,3423,3732,4299,4720,6117,8478
San Luis Obispo County,1948,2043,1946,1863,1562,1538,1570,1597,1644,1706,1746,1914,1816,2064,1874,2027,2505
San Mateo County,5196,5593,5552,5410,4990,5532,6100,5983,5944,6384,6411,6493,6490,7477,7097,7760,8942
Santa Barbara County,2553,2789,2658,2387,2273,2268,2399,2431,2517,2522,2690,2611,2790,2830,2888,3258,3725
Santa Clara County,12171,13275,13367,12875,12255,13112,13791,13960,13898,15035,14973,15009,15318,16678,16061,17206,19577
Santa Cruz County,1599,1660,1615,1551,1433,1429,1520,1487,1460,1650,1634,1713,1748,1967,1763,1741,2168
Shasta County,1127,1161,1122,913,813,831,854,799,737,853,850,1085,1596,2129,1770,1887,2240
Sierra County,44,20,10,18,13,20,9,21,0,19,16,14,6,17,19,15,32
Siskiyou County,290,287,274,243,195,210,224,180,171,170,183,239,225,261,236,265,353
Solano County,2033,2163,2249,2099,1903,1744,1957,1812,1967,1969,2166,2265,2318,2721,2790,4048,5117
Sonoma County,2878,3043,3069,3069,2722,2807,3026,3028,3146,3157,3276,3322,3302,3541,3392,3669,4480
Stanislaus County,2530,2743,2658,2162,1937,1962,2137,2055,2068,2194,2368,2354,2502,2711,2812,3461,4369
Sutter County,508,607,570,498,442,431,459,431,471,475,523,461,525,612,717,828,1052
Tehama County,305,321,274,253,241,220,234,218,222,208,211,260,217,228,284,282,406
Trinity County,68,105,68,63,70,49,64,56,59,61,62,97,177,139,145,186,151
Tulare County,1573,1703,1731,1615,1341,1315,1432,1414,1470,1379,1445,1681,1747,1847,1851,2369,2969
Tuolumne County,360,346,313,283,233,229,245,234,202,252,245,277,260,303,295,280,370
Ventura County,5323,5405,5370,5223,4748,4834,4901,5020,5074,5152,5263,5278,5317,5752,5864,6888,7986
Yolo County,896,971,1055,940,908,948,922,923,938,953,1053,1092,1122,1296,1211,1356,1707
Yuba County,287,288,307,283,263,266,251,238,244,241,248,230,323,333,347,445,534